date,value,ts_utc,entity,unit,source,dataset_id,metric_name,is_derived,derived_from,fingerprint
2026-03-01,2.7,,,,,,,,,
,3.8,2021-04-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,ea73ed632f743af2
,3.8,2021-05-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,fa5d09cb2a7c22f6
,3.7,2021-06-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,a0216257e6081f66
,3.3,2021-07-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,9897376cb80b679a
,3.4,2021-08-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,e38a05c369e87fe9
,3.1,2021-09-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,a88dee4e35ae7b19
,3.3,2021-10-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,e7a2bd30cbaddec5
,3.1,2021-11-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,218556a4510eb404
,3.2,2021-12-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,424fe71745f5738a
,3.2,2022-01-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,0ddefacaba6dbeb5
,2.9,2022-02-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,4e8fd8b02f45ae4f
,2.8,2022-03-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,9f891c0c870b2a85
,2.8,2022-04-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,c0cd518d4e394d89
,2.9,2022-05-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,35e9081edf7644fb
,2.9,2022-06-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,92df5378815f07b0
,3.0,2022-07-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,49a7bb32ae0ab5b2
,2.8,2022-08-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,1fa1ec48f972957b
,2.9,2022-09-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,33a35b760b18a4a1
,2.9,2022-10-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,26a453163b809743
,2.8,2022-11-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,c2be5dfb83909251
,2.7,2022-12-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,b80b105c82e507df
,2.7,2023-01-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,8e002466c3995b23
,2.7,2023-02-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,21f88a5d858dfb30
,2.7,2023-03-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,bceaa4a331177b49
,2.6,2023-04-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,3e53b1720ea5faa2
,2.5,2023-05-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,045c56b16bf97185
,2.6,2023-06-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,c4c54f64339da488
