date,value
2021-04-01,4.0
2021-04-01,3.8
2021-05-01,4.0
2021-05-01,3.8
2021-06-01,3.8
2021-06-01,3.7
2021-07-01,3.2
2021-07-01,3.3
2021-08-01,2.6
2021-08-01,3.4
2021-09-01,2.7
2021-09-01,3.1
2021-10-01,2.8
2021-10-01,3.3
2021-11-01,2.6
2021-11-01,3.1
2021-12-01,3.5
2021-12-01,3.2
2022-01-01,4.1
2022-01-01,3.2
2022-02-01,3.4
2022-02-01,2.9
2022-03-01,3.0
2022-03-01,2.8
2022-04-01,3.0
2022-04-01,2.8
2022-05-01,3.0
2022-05-01,2.9
2022-06-01,3.0
2022-06-01,2.9
2022-07-01,2.9
2022-07-01,3.0
2022-08-01,2.1
2022-08-01,2.8
2022-09-01,2.4
2022-09-01,2.9
2022-10-01,2.4
2022-10-01,2.9
2022-11-01,2.3
2022-11-01,2.8
2022-12-01,3.0
2022-12-01,2.7
2023-01-01,3.6
2023-01-01,2.7
2023-02-01,3.1
2023-02-01,2.7
2023-03-01,2.9
2023-03-01,2.7
2023-04-01,2.8
2023-04-01,2.6
2023-05-01,2.7
2023-05-01,2.5
2023-06-01,2.7
2023-06-01,2.6
2023-07-01,2.7
2023-07-01,2.9
2023-08-01,2.0
2023-08-01,2.7
2023-09-01,2.3
2023-09-01,2.8
2023-10-01,2.1
2023-10-01,2.6
2023-11-01,2.3
2023-11-01,2.8
2023-12-01,3.3
2023-12-01,2.8
2024-01-01,3.7
2024-01-01,2.8
2024-02-01,3.2
2024-02-01,2.7
2024-03-01,3.0
2024-03-01,2.8
2024-04-01,3.0
2024-04-01,2.8
2024-05-01,3.0
2024-05-01,2.8
2024-06-01,2.9
2024-06-01,2.8
2024-07-01,2.5
2024-07-01,2.7
2024-08-01,1.9
2024-08-01,2.6
2024-09-01,2.1
2024-09-01,2.6
2024-10-01,2.3
2024-10-01,2.8
2024-11-01,2.2
2024-11-01,2.8
2024-12-01,3.8
2024-12-01,3.1
2025-01-01,3.7
2025-01-01,2.8
2025-02-01,3.2
2025-02-01,2.8
2025-03-01,3.1
2025-03-01,2.8
2025-04-01,2.9
2025-04-01,2.7
2025-05-01,2.8
2025-05-01,2.7
2025-06-01,2.8
2025-06-01,2.7
2025-07-01,2.4
2025-07-01,2.7
2025-08-01,2.0
2025-08-01,2.8
2025-09-01,2.1
2025-09-01,2.7
2025-10-01,2.2
2025-10-01,2.7
2025-11-01,2.2
2025-11-01,2.8
2025-12-01,4.1
2025-12-01,3.3
2026-01-01,4.1
2026-01-01,3.0
2026-02-01,3.4
2026-02-01,2.9
2026-03-01,3.0
2026-03-01,2.7
