date,value
2021-04-01,3176515.7
2021-05-01,3208328.8
2021-06-01,3219485.9
2021-07-01,3257056.3
2021-08-01,3293240.3
2021-09-01,3314910.6
2021-10-01,3350841.4
2021-11-01,3394545.9
2021-12-01,3411438.0
2022-01-01,3449516.3
2022-02-01,3487090.3
2022-03-01,3490107.7
2022-04-01,3501103.0
2022-05-01,3531043.0
2022-06-01,3551521.2
2022-07-01,3568802.1
2022-08-01,3600817.0
2022-09-01,3609736.9
2022-10-01,3632494.2
2022-11-01,3680544.2
2022-12-01,3682583.4
2023-01-01,3690158.6
2023-02-01,3695231.6
2023-03-01,3682032.2
2023-04-01,3668582.4
2023-05-01,3660125.0
2023-06-01,3677250.3
2023-07-01,3706857.3
2023-08-01,3705568.7
2023-09-01,3711225.4
2023-10-01,3725464.5
2023-11-01,3753300.1
2023-12-01,3746423.1
2024-01-01,3737309.3
2024-02-01,3762578.7
2024-03-01,3804693.0
2024-04-01,3808175.6
2024-05-01,3809788.1
2024-06-01,3811231.6
2024-07-01,3823839.5
2024-08-01,3834303.6
2024-09-01,3850412.1
2024-10-01,3857079.5
2024-11-01,3877862.7
2024-12-01,3900070.9
2025-01-01,3923921.4
2025-02-01,3930083.5
2025-03-01,3914432.4
2025-04-01,3930054.0
2025-05-01,3955598.2
2025-06-01,3975331.0
2025-07-01,3994033.3
2025-08-01,4038516.1
2025-09-01,4059768.7
2025-10-01,4057900.5
2025-11-01,4062260.6
2025-12-01,4081265.9
2026-01-01,4113407.1
2026-02-01,4113983.8
