"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260414,2026-04-14,001602,CBT ,00,001 ,  465537,   56935,  112047,   90322,   18958,   11551,  102122,  107672,   98001,   26867,   39683,   45231,  431029,  433143,   34508,   32394,  109354,   27058,   14877,    4364,   13090,       0,   30851,   52151,    5425,   29822,   14314,    1012,   98532,  100869,   10822,    8485,  356183,   29877,   97170,   91401,   11311,    6108,   95933,   80183,   67914,   25933,   54257,   15331,  332497,  332274,   23686,   23909,  -36942,   -5759,   -6326,   -2468,    -511,   -8832,   -7359,   -6191,  -16926,   -1874,   -3383,    4834,  -38384,  -37335,    1442,     393,  100.0,   12.2,   24.1,   19.4,    4.1,    2.5,   21.9,   23.1,   21.1,    5.8,    8.5,    9.7,   92.6,   93.0,    7.4,    7.0,  100.0,   24.7,   13.6,    4.0,   12.0,    0.0,   28.2,   47.7,    5.0,   27.3,   13.1,    0.9,   90.1,   92.2,    9.9,    7.8,  100.0,    8.4,   27.3,   25.7,    3.2,    1.7,   26.9,   22.5,   19.1,    7.3,   15.2,    4.3,   93.3,   93.3,    6.6,    6.7,    383,     63,     93,     25,      6,     16,     65,     63,     66,     55,     47,     55,    288,    285,    261,     35,     47,     15,     11,      0,     38,     36,     16,     54,     29,.,    151,    132,    350,     46,     87,     19,      8,     11,     67,     53,     52,     48,     56,     30,    230,    249,    13.5,    11.5,    21.7,    20.4,     9.1,     8.4,    15.7,    14.0,    25.3,    27.2,    38.0,    42.2,    24.2,    27.1,    36.9,    41.8,    15.6,    11.6,    26.0,    21.6,    13.0,    10.7,    20.6,    17.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260407,2026-04-07,001602,CBT ,00,001 ,  502479,   62694,  118373,   92790,   19469,   20383,  109481,  113863,  114927,   28741,   43066,   40397,  469413,  470478,   33066,   32001,  208407,   42426,   14639,   46193,   13141,    1262,   58192,  115185,   15903,   28348,   34966,    1301,  193625,  196397,   14782,   12010,  294072,   20268,  103734,   51019,   10750,   14699,  112282,   59671,   38031,   21713,   29420,   17776,  275788,  274081,   18284,   19991,   13861,   15342,    6066,    -292,   -1134,   -1108,   -8441,    3722,    3638,    1663,   -1208,    3900,   14702,   13876,    -841,     -15,  100.0,   12.5,   23.6,   18.5,    3.9,    4.1,   21.8,   22.7,   22.9,    5.7,    8.6,    8.0,   93.4,   93.6,    6.6,    6.4,  100.0,   20.4,    7.0,   22.2,    6.3,    0.6,   27.9,   55.3,    7.6,   13.6,   16.8,    0.6,   92.9,   94.2,    7.1,    5.8,  100.0,    6.9,   35.3,   17.3,    3.7,    5.0,   38.2,   20.3,   12.9,    7.4,   10.0,    6.0,   93.8,   93.2,    6.2,    6.8,    385,     65,     93,     22,     10,     18,     67,     63,     66,     58,     46,     55,    293,    284,    324,     40,     56,     19,     11,.,     54,     58,     25,     54,     40,      4,    185,    178,    322,     44,     87,     17,     10,     12,     65,     38,     41,     46,     47,     26,    204,    230,    13.6,    10.7,    21.3,    18.7,     9.2,     8.0,    16.2,    14.0,    16.3,    19.2,    27.6,    32.6,    16.1,    19.2,    27.2,    32.3,    16.9,    12.6,    27.4,    23.1,    12.6,    11.4,    21.4,    21.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260331,2026-03-31,001602,CBT ,00,001 ,  488618,   47352,  112307,   93082,   20603,   21491,  117922,  110141,  111289,   27078,   44274,   36497,  454711,  456602,   33907,   32016,  217288,   32140,   16362,   35195,   19221,     165,   88726,  117879,   16051,   28154,   35523,     543,  200974,  205744,   16314,   11544,  271330,   15212,   95945,   67834,   11329,   11379,   94798,   57864,   29636,   18688,   28515,   16190,  253737,  250858,   17593,   20472,    4050,   -5608,    7876,    5120,     461,   -4870,    7190,   -1585,    -664,     582,    1684,     712,    2462,    3614,    1588,     436,  100.0,    9.7,   23.0,   19.1,    4.2,    4.4,   24.1,   22.5,   22.8,    5.5,    9.1,    7.5,   93.1,   93.4,    6.9,    6.6,  100.0,   14.8,    7.5,   16.2,    8.8,    0.1,   40.8,   54.3,    7.4,   13.0,   16.3,    0.2,   92.5,   94.7,    7.5,    5.3,  100.0,    5.6,   35.4,   25.0,    4.2,    4.2,   34.9,   21.3,   10.9,    6.9,   10.5,    6.0,   93.5,   92.5,    6.5,    7.5,    377,     60,     91,     23,     10,     16,     70,     62,     69,     50,     48,     50,    284,    277,    325,     35,     58,     19,     12,.,     61,     56,     27,     50,     42,.,    183,    180,    302,     39,     84,     18,      9,      9,     58,     36,     34,     45,     40,     26,    188,    211,    14.0,    10.4,    22.3,    18.7,     9.6,     8.2,    16.6,    14.2,    18.8,    19.1,    29.4,    31.8,    16.9,    18.5,    27.5,    30.4,    17.9,    13.1,    29.6,    23.1,    16.8,    12.7,    27.5,    22.7,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260324,2026-03-24,001602,CBT ,00,001 ,  484568,   52960,  104431,   87962,   20142,   26361,  110732,  111726,  111953,   26496,   42590,   35785,  452249,  452988,   32319,   31580,  227506,   37659,   15425,   32080,   25480,     192,   88096,  119293,   21214,   30466,   32481,     882,  210589,  214967,   16917,   12539,  257062,   15301,   89006,   69673,    8453,   12378,   84468,   54265,   28907,   14655,   28734,   16278,  241660,  238021,   15402,   19041,    6119,    5544,    7211,   -6011,     562,    5917,    9786,   -1094,   -8354,   -2757,    -457,    3449,    7574,    7234,   -1455,   -1115,  100.0,   10.9,   21.6,   18.2,    4.2,    5.4,   22.9,   23.1,   23.1,    5.5,    8.8,    7.4,   93.3,   93.5,    6.7,    6.5,  100.0,   16.6,    6.8,   14.1,   11.2,    0.1,   38.7,   52.4,    9.3,   13.4,   14.3,    0.4,   92.6,   94.5,    7.4,    5.5,  100.0,    6.0,   34.6,   27.1,    3.3,    4.8,   32.9,   21.1,   11.2,    5.7,   11.2,    6.3,   94.0,   92.6,    6.0,    7.4,    380,     67,     89,     24,      9,     17,     66,     63,     69,     52,     51,     50,    292,    277,    335,     38,     54,     20,     12,.,     62,     56,     25,     57,     40,      4,    193,    176,    292,     43,     82,     17,     10,      9,     57,     34,     34,     39,     41,     26,    187,    206,    14.2,    10.8,    22.2,    19.2,     9.3,     8.2,    16.2,    14.9,    17.5,    19.4,    27.7,    31.7,    15.5,    18.3,    25.2,    30.0,    19.1,    13.3,    32.2,    24.2,    17.7,    12.9,    29.6,    22.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260317,2026-03-17,001602,CBT ,00,001 ,  478449,   47416,   97220,   93973,   19580,   20444,  100946,  112820,  120307,   29253,   43047,   32336,  444675,  445754,   33774,   32695,  227796,   24966,   21222,   34614,   22197,     186,   93045,  116186,   23549,   32354,   29837,     693,  209407,  213870,   18389,   13926,  250653,   22450,   75998,   69906,    7930,    9711,   78264,   66997,   26395,   11738,   28049,   16804,  235268,  231884,   15385,   18769,   14014,    -361,    3713,   -1067,    -312,    1490,    5641,   -3731,    1925,    3229,    9104,    1879,   12736,   14068,    1278,     -54,  100.0,    9.9,   20.3,   19.6,    4.1,    4.3,   21.1,   23.6,   25.1,    6.1,    9.0,    6.8,   92.9,   93.2,    7.1,    6.8,  100.0,   11.0,    9.3,   15.2,    9.7,    0.1,   40.8,   51.0,   10.3,   14.2,   13.1,    0.3,   91.9,   93.9,    8.1,    6.1,  100.0,    9.0,   30.3,   27.9,    3.2,    3.9,   31.2,   26.7,   10.5,    4.7,   11.2,    6.7,   93.9,   92.5,    6.1,    7.5,    377,     65,     87,     26,      8,     17,     59,     64,     69,     59,     46,     48,    289,    271,    341,     33,     61,     22,     12,.,     61,     54,     28,     61,     41,.,    195,    181,    288,     47,     80,     18,      9,      9,     46,     41,     32,     33,     46,     27,    184,    205,    14.7,    11.4,    22.5,    20.2,     9.8,     9.4,    16.4,    15.4,    18.9,    17.9,    27.5,    30.5,    16.5,    17.9,    24.6,    29.3,    19.5,    14.4,    32.3,    25.4,    17.9,    12.8,    29.8,    21.7,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260310,2026-03-10,001602,CBT ,00,001 ,  464435,   47777,   93507,   95040,   19892,   18954,   95305,  116551,  118382,   26024,   33943,   30457,  431939,  431686,   32496,   32749,  231885,   26857,   21708,   36241,   24414,     156,   89278,  116731,   25901,   33460,   27502,     671,  212564,  217083,   19321,   14802,  232550,   20920,   71799,   69788,    6467,    7809,   78732,   72525,   19776,   10002,   23879,   12348,  219375,  214603,   13175,   17947,   17947,    7600,    6951,    2868,    1571,    4734,    1639,   -2204,    2572,   -1814,    5186,     701,   18300,   19511,    -353,   -1564,  100.0,   10.3,   20.1,   20.5,    4.3,    4.1,   20.5,   25.1,   25.5,    5.6,    7.3,    6.6,   93.0,   92.9,    7.0,    7.1,  100.0,   11.6,    9.4,   15.6,   10.5,    0.1,   38.5,   50.3,   11.2,   14.4,   11.9,    0.3,   91.7,   93.6,    8.3,    6.4,  100.0,    9.0,   30.9,   30.0,    2.8,    3.4,   33.9,   31.2,    8.5,    4.3,   10.3,    5.3,   94.3,   92.3,    5.7,    7.7,    359,     63,     83,     24,      8,     17,     63,     62,     63,     54,     39,     45,    272,    259,    321,     36,     59,     20,     12,.,     55,     56,     28,     53,     36,      4,    186,    174,    276,     47,     73,     18,      8,     10,     48,     37,     31,     33,     40,     25,    182,    191,    14.9,    12.8,    23.3,    22.1,     9.8,     9.4,    16.2,    15.9,    19.0,    17.9,    28.3,    30.6,    16.0,    17.8,    24.6,    30.0,    20.7,    17.4,    33.6,    28.5,    19.9,    14.2,    31.6,    24.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260303,2026-03-03,001602,CBT ,00,001 ,  446488,   40177,   86556,   92172,   18321,   14220,   93666,  118755,  115810,   27838,   28757,   29756,  413639,  412175,   32849,   34313,  228753,   23224,   28775,   29427,   21926,     155,   97561,  111668,   22613,   36392,   25820,     536,  209908,  211493,   18845,   17260,  217735,   16953,   57781,   71462,    5112,    5348,   68854,   79836,   20448,    9640,   21131,   11026,  203731,  200682,   14004,   17053,   -9667,   -3163,  -10830,    1858,    2414,   -1014,  -10475,   -3144,    4776,   -2135,     454,   -1296,  -11449,   -8640,    1782,   -1027,  100.0,    9.0,   19.4,   20.6,    4.1,    3.2,   21.0,   26.6,   25.9,    6.2,    6.4,    6.7,   92.6,   92.3,    7.4,    7.7,  100.0,   10.2,   12.6,   12.9,    9.6,    0.1,   42.6,   48.8,    9.9,   15.9,   11.3,    0.2,   91.8,   92.5,    8.2,    7.5,  100.0,    7.8,   26.5,   32.8,    2.3,    2.5,   31.6,   36.7,    9.4,    4.4,    9.7,    5.1,   93.6,   92.2,    6.4,    7.8,    355,     59,     83,     22,      9,     16,     56,     66,     68,     47,     41,     51,    264,    271,    324,     35,     60,     17,     12,.,     56,     55,     27,     52,     43,.,    176,    183,    265,     42,     71,     18,      6,     10,     48,     38,     29,     29,     39,     24,    168,    190,    14.9,    12.8,    24.0,    21.2,     9.9,     8.2,    17.2,    13.6,    21.4,    15.3,    30.3,    26.9,    18.3,    14.8,    27.1,    25.4,    20.0,    19.2,    32.3,    30.4,    19.6,    16.7,    30.5,    27.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260224,2026-02-24,001602,CBT ,00,001 ,  456155,   43340,   97386,   90314,   15907,   15234,  104141,  121899,  111034,   29973,   28303,   31052,  425088,  420815,   31067,   35340,  248745,   23121,   42852,   30436,   20357,     414,  111004,  108557,   25892,   36196,   28150,    2774,  229837,  228996,   18908,   19749,  207410,   20219,   54534,   68798,    4470,    5900,   56296,   76501,   21983,    9939,   16315,   12116,  195251,  191819,   12159,   15591,  -16165,  -25713,   16175,   11981,    8116,   -5087,   19029,  -32780,   -8808,   -6964,    5875,     507,  -15055,  -16002,   -1110,    -163,  100.0,    9.5,   21.3,   19.8,    3.5,    3.3,   22.8,   26.7,   24.3,    6.6,    6.2,    6.8,   93.2,   92.3,    6.8,    7.7,  100.0,    9.3,   17.2,   12.2,    8.2,    0.2,   44.6,   43.6,   10.4,   14.6,   11.3,    1.1,   92.4,   92.1,    7.6,    7.9,  100.0,    9.7,   26.3,   33.2,    2.2,    2.8,   27.1,   36.9,   10.6,    4.8,    7.9,    5.8,   94.1,   92.5,    5.9,    7.5,    351,     63,     82,     22,      8,     18,     63,     66,     70,     46,     42,     51,    270,    270,    323,     43,     67,     16,     12,      4,     59,     59,     35,     52,     37,     13,    195,    202,    256,     46,     63,     17,      6,      9,     48,     37,     31,     34,     34,     26,    171,    182,    14.4,    13.4,    24.6,    22.4,    11.4,     9.0,    18.9,    14.9,    21.6,    14.7,    30.6,    25.9,    18.5,    14.7,    26.9,    24.4,    20.0,    20.5,    32.0,    31.4,    19.5,    17.6,    30.8,    28.4,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260217,2026-02-17,001602,CBT ,00,001 ,  472320,   69053,   81211,   78333,    7791,   20321,   85112,  154679,  119842,   36937,   22428,   30545,  440143,  436817,   32177,   35503,  280436,   42137,   36676,   26718,   17367,    1675,   95984,  126871,   44025,   42133,   25826,    6319,  258991,  258759,   21445,   21677,  191884,   26916,   44535,   63207,    2016,    7054,   45249,   83929,   19696,   10602,   12400,    8428,  181152,  178058,   10732,   13826,  -49504,  -10799,     523,   -2165,      20,   -8578,   -5173,  -21438,  -20283,    1635,    1700,   -2524,  -47887,  -50580,   -1617,    1076,  100.0,   14.6,   17.2,   16.6,    1.6,    4.3,   18.0,   32.7,   25.4,    7.8,    4.7,    6.5,   93.2,   92.5,    6.8,    7.5,  100.0,   15.0,   13.1,    9.5,    6.2,    0.6,   34.2,   45.2,   15.7,   15.0,    9.2,    2.3,   92.4,   92.3,    7.6,    7.7,  100.0,   14.0,   23.2,   32.9,    1.1,    3.7,   23.6,   43.7,   10.3,    5.5,    6.5,    4.4,   94.4,   92.8,    5.6,    7.2,    357,     69,     76,     20,      7,     16,     53,     73,     72,     63,     36,     56,    283,    271,    334,     53,     66,     17,     10,      7,     53,     64,     46,     64,     34,     22,    227,    213,    245,     48,     58,     17,      4,      9,     39,     40,     27,     35,     31,     24,    169,    166,    14.3,    13.4,    23.8,    21.7,    10.4,     8.2,    17.4,    14.0,    19.5,    14.2,    27.1,    25.1,    15.8,    13.6,    22.9,    23.0,    21.1,    19.3,    35.4,    31.5,    20.1,    15.5,    32.2,    27.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260210,2026-02-10,001602,CBT ,00,001 ,  521824,   79852,   80688,   80498,    7771,   28899,   90285,  176117,  140125,   35302,   20728,   33069,  488030,  487397,   33794,   34427,  352049,   55813,   36080,   27371,   16247,   14511,  104574,  149340,   74846,   35933,   23842,   14306,  327354,  329172,   24695,   22877,  169775,   24039,   44608,   62462,     859,    5053,   36441,   77507,   14549,    9887,    7404,    8245,  160676,  158225,    9099,   11550,  -21608,    -870,     782,    4879,   -1600,  -13310,    1966,    6255,  -16385,    2302,    3775,   -2156,  -23574,  -22639,    1966,    1031,  100.0,   15.3,   15.5,   15.4,    1.5,    5.5,   17.3,   33.8,   26.9,    6.8,    4.0,    6.3,   93.5,   93.4,    6.5,    6.6,  100.0,   15.9,   10.2,    7.8,    4.6,    4.1,   29.7,   42.4,   21.3,   10.2,    6.8,    4.1,   93.0,   93.5,    7.0,    6.5,  100.0,   14.2,   26.3,   36.8,    0.5,    3.0,   21.5,   45.7,    8.6,    5.8,    4.4,    4.9,   94.6,   93.2,    5.4,    6.8,    359,     65,     71,     23,      5,     18,     49,     81,     72,     61,     36,     60,    279,    276,    339,     53,     53,     18,     10,      9,     54,     71,     51,     56,     37,     35,    234,    221,    235,     45,     57,     17,      6,      8,     31,     43,     30,     38,     22,     24,    164,    161,    14.3,    13.1,    23.8,    22.8,     9.2,     7.9,    15.1,    14.2,    17.0,    16.9,    27.2,    27.4,    13.2,    11.7,    20.1,    20.4,    21.8,    21.2,    36.2,    35.1,    20.8,    20.9,    34.3,    33.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
