date,value
2021-01-01,101.04
2021-02-01,101.58
2021-03-01,101.84
2021-04-01,101.98
2021-05-01,102.05
2021-06-01,102.05
2021-07-01,102.26
2021-08-01,102.75
2021-09-01,103.17
2021-10-01,103.35
2021-11-01,103.87
2021-12-01,104.04
2022-01-01,104.85
2022-02-01,105.42
2022-03-01,106.1
2022-04-01,106.83
2022-05-01,107.5
2022-06-01,108.21
2022-07-01,108.73
2022-08-01,108.63
2022-09-01,108.82
2022-10-01,109.16
2022-11-01,109.07
2022-12-01,109.26
2023-01-01,110.07
2023-02-01,110.33
2023-03-01,110.52
2023-04-01,110.77
2023-05-01,111.13
2023-06-01,111.16
2023-07-01,111.29
2023-08-01,112.28
2023-09-01,112.85
2023-10-01,113.27
2023-11-01,112.68
2023-12-01,112.73
2024-01-01,113.17
2024-02-01,113.78
2024-03-01,113.95
2024-04-01,114.01
2024-05-01,114.1
2024-06-01,113.84
2024-07-01,114.13
2024-08-01,114.54
2024-09-01,114.65
2024-10-01,114.69
2024-11-01,114.4
2024-12-01,114.91
2025-01-01,115.71
2025-02-01,116.08
2025-03-01,116.29
2025-04-01,116.38
2025-05-01,116.27
2025-06-01,116.31
2025-07-01,116.52
2025-08-01,116.45
2025-09-01,117.06
2025-10-01,117.42
2025-11-01,117.2
2025-12-01,117.57
