date,value,ts_utc,entity,unit,source,dataset_id,metric_name,is_derived,derived_from,fingerprint
2026-01-01,118.03,,,,,,,,,
,101.58,2021-02-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,bd3bbc6ed164b0b4
,101.84,2021-03-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,fa2ae712463ff100
,101.98,2021-04-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,a9e0f6eba9f63867
,102.05,2021-05-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,7de34a3dbd0e5edc
,102.05,2021-06-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,5d144834bb1894ce
,102.26,2021-07-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,8262429affba570d
,102.75,2021-08-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,78f1bf3d05b3f538
,103.17,2021-09-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,c816cd1d41b2d1fb
,103.35,2021-10-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,6db6c6da7c2de9b7
,103.87,2021-11-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,f6de71078b7dc48c
,104.04,2021-12-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,4e736e69b9cffeb0
,104.85,2022-01-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,e92e3cfeaa812b6b
,105.42,2022-02-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,87c64e4e71a8c9e4
,106.1,2022-03-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,ecea998e20eb1071
,106.83,2022-04-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,98ddc62821fa0229
,107.5,2022-05-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,b4191fc29f94de68
